,0
0,https://www.shaw.ca/bluecurve/
1,https://www.shaw.ca/bluecurve/bluecurve-home/
2,https://www.shaw.ca/bluecurve/bluecurve-pods/
3,https://www.shaw.ca/bluecurve/bluecurve-gateway/
4,https://www.shaw.ca/internet/
5,https://www.shaw.ca/internet/plans/
6,https://www.shaw.ca/wifi/
7,https://www.shaw.ca/internet/internet-extras/
8,https://www.shaw.ca/advanced-wifi-modem
9,https://www.shaw.ca/fibreplus
10,https://www.shaw.ca/television/
11,https://www.shaw.ca/television/plans/
12,https://www.shaw.ca/television/blueskytv
13,https://www.shaw.ca/television/programming/
14,https://www.shaw.ca/television/freerangetv/
15,https://www.shaw.ca/television/video-on-demand/
16,https://www.shaw.ca/television/channels/pay-per-view/
17,http://www.shaw.ca/television/channel-listings/
18,https://www.shaw.ca/television/equipment/
19,https://www.shaw.ca/television/tv-apps/
20,https://www.shaw.ca/home-phone/phone-plans/
21,https://www.shaw.ca/home-phone/phone-plans/
22,https://www.shaw.ca/home-phone/features/
23,https://www.shaw.ca/home-phone/long-distance/
24,https://www.shaw.ca/home-phone/portal/
25,https://www.shaw.ca/bundles/
26,https://www.shaw.ca/bundles/bluesky-tv-bundles/
27,https://www.shaw.ca/bundles/shaw-tv-bundles/
